"incident_date","State","city_county","Address","no_killed","no_injured","moreInfo","formattedDate","casualties","GoogleAdd","dayofweek","lat","lng","accuracy"
"February 1, 2015","New York","Syracuse","1217 West Fayette Street","0","6","<a href=""http://www.gunviolencearchive.org/incident/287529"" target=""_blank"">More Information</a>",2015-02-01,6,"New York, Syracuse, 1217 West Fayette Street","Sun",43.0469615,-76.1765579,"street_address"
"February 1, 2015","New York","New York (Manhattan)","3345 Broadway","1","4","<a href=""http://www.gunviolencearchive.org/incident/287031"" target=""_blank"">More Information</a>",2015-02-01,5,"New York, New York (Manhattan), 3345 Broadway","Sun",40.8204613,-73.9551772,"street_address"
"February 5, 2015","Ohio","Beachwood (Warrensville Heights)","Harvard Road","3","3","<a href=""http://www.gunviolencearchive.org/incident/289146"" target=""_blank"">More Information</a>",2015-02-05,6,"Ohio, Beachwood (Warrensville Heights), Harvard Road","Thurs",41.4496741,-81.4960659,"route"
"February 6, 2015","Oklahoma","Tulsa","1219 N. Sheridan Road","1","4","<a href=""http://www.gunviolencearchive.org/incident/290098"" target=""_blank"">More Information</a>",2015-02-06,5,"Oklahoma, Tulsa, 1219 N. Sheridan Road","Fri",36.172078,-95.9041845,"street_address"
"February 7, 2015","Georgia","Douglasville","3640 Willow Tree Circle","5","2","<a href=""http://www.gunviolencearchive.org/incident/289811"" target=""_blank"">More Information</a>",2015-02-07,7,"Georgia, Douglasville, 3640 Willow Tree Circle","Sat",33.7140481,-84.6689369,"street_address"
"February 8, 2015","Tennessee","Friendship","251 Dupree Rd","0","6","<a href=""http://www.gunviolencearchive.org/incident/290510"" target=""_blank"">More Information</a>",2015-02-08,6,"Tennessee, Friendship, 251 Dupree Rd","Sun",35.8471024,-89.2348485,"street_address"
"February 9, 2015","Florida","New Port Richey","9552 Adler Street","3","1","<a href=""http://www.gunviolencearchive.org/incident/290626"" target=""_blank"">More Information</a>",2015-02-09,4,"Florida, New Port Richey, 9552 Adler Street","Mon",28.296372,-82.617077,"street_address"
"February 15, 2015","California","Long Beach","200 block of W. 14th Street","0","5","<a href=""http://www.gunviolencearchive.org/incident/293883"" target=""_blank"">More Information</a>",2015-02-15,5,"California, Long Beach, 200 block of W. 14th Street","Sun",33.7837108,-118.1937466,"street_address"
"February 17, 2015","Arkansas","Little Rock","7900 Scott Hamilton","1","3","<a href=""http://www.gunviolencearchive.org/incident/295502"" target=""_blank"">More Information</a>",2015-02-17,4,"Arkansas, Little Rock, 7900 Scott Hamilton","Tues",34.6774208,-92.3203455,"street_address"
"February 20, 2015","California","Sacramento","1417 R Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/295871"" target=""_blank"">More Information</a>",2015-02-20,4,"California, Sacramento, 1417 R Street","Fri",38.569915,-121.490941,"street_address"
"February 22, 2015","Texas","Killeen","1706 Godman St.","4","1","<a href=""http://www.gunviolencearchive.org/incident/296215"" target=""_blank"">More Information</a>",2015-02-22,5,"Texas, Killeen, 1706 Godman St.","Sun",31.120474,-97.6828882,"street_address"
"February 22, 2015","Georgia","Clarkesville","281 Lower Pond Court","3","2","<a href=""http://www.gunviolencearchive.org/incident/296121"" target=""_blank"">More Information</a>",2015-02-22,5,"Georgia, Clarkesville, 281 Lower Pond Court","Sun",34.630979,-83.597945,"street_address"
"February 22, 2015","South Carolina","Charleston","4224 Dorchester Road","0","4","<a href=""http://www.gunviolencearchive.org/incident/296327"" target=""_blank"">More Information</a>",2015-02-22,4,"South Carolina, Charleston, 4224 Dorchester Road","Sun",32.8541396,-80.0054206,"street_address"
"February 23, 2015","Florida","Daytona Beach","Sheridan Road","0","4","<a href=""http://www.gunviolencearchive.org/incident/588835"" target=""_blank"">More Information</a>",2015-02-23,4,"Florida, Daytona Beach, Sheridan Road","Mon",29.2084684,-81.0456287,"route"
"February 25, 2015","Texas","Houston","5022 Mallow St","3","1","<a href=""http://www.gunviolencearchive.org/incident/297681"" target=""_blank"">More Information</a>",2015-02-25,4,"Texas, Houston, 5022 Mallow St","Wed",29.6594745,-95.3476943,"street_address"
"February 26, 2015","Missouri","Tyrone","18279 Highway H","8","1","<a href=""http://www.gunviolencearchive.org/incident/298122"" target=""_blank"">More Information</a>",2015-02-26,9,"Missouri, Tyrone, 18279 Highway H","Thurs",37.2004904,-91.8723152,"street_address"
"February 28, 2015","Maryland","Baltimore","4300 block of Welbourne Road","1","3","<a href=""http://www.gunviolencearchive.org/incident/299190"" target=""_blank"">More Information</a>",2015-02-28,4,"Maryland, Baltimore, 4300 block of Welbourne Road","Sat",39.3434499,-76.58795,"street_address"
"March 1, 2015","Florida","Orange County","4900 block of Steyr Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/300660"" target=""_blank"">More Information</a>",2015-03-01,4,"Florida, Orange County, 4900 block of Steyr Street","Sun",28.4520588,-81.4441252,"street_address"
"March 1, 2015","Michigan","Detroit","9855 Chalmers St","1","5","<a href=""http://www.gunviolencearchive.org/incident/299344"" target=""_blank"">More Information</a>",2015-03-01,6,"Michigan, Detroit, 9855 Chalmers St","Sun",42.4119489,-82.9693369,"street_address"
"March 4, 2015","California","San Bernardino","190 block of W Club Center Dr","3","4","<a href=""http://www.gunviolencearchive.org/incident/300860"" target=""_blank"">More Information</a>",2015-03-04,7,"California, San Bernardino, 190 block of W Club Center Dr","Wed",34.0627285,-117.2816507,"street_address"
"March 7, 2015","Missouri","Saint Louis","3140 Olive St","0","4","<a href=""http://www.gunviolencearchive.org/incident/491864"" target=""_blank"">More Information</a>",2015-03-07,4,"Missouri, Saint Louis, 3140 Olive St","Sat",38.6353092,-90.2253536,"street_address"
"March 8, 2015","South Carolina","Seneca","Wells Highway","1","3","<a href=""http://www.gunviolencearchive.org/incident/302786"" target=""_blank"">More Information</a>",2015-03-08,4,"South Carolina, Seneca, Wells Highway","Sun",34.664203,-82.9269031,"route"
"March 9, 2015","Illinois","Chicago","200 block of West 105th","1","3","<a href=""http://www.gunviolencearchive.org/incident/303659"" target=""_blank"">More Information</a>",2015-03-09,4,"Illinois, Chicago, 200 block of West 105th","Mon",41.7024947,-87.6324871,"street_address"
"March 10, 2015","Georgia","Columbus","3023 Victory Drive","0","5","<a href=""http://www.gunviolencearchive.org/incident/304238"" target=""_blank"">More Information</a>",2015-03-10,5,"Georgia, Columbus, 3023 Victory Drive","Tues",32.4376496,-84.9596408,"street_address"
"March 13, 2015","Mississippi","Brookhaven","1097 South First St.","2","3","<a href=""http://www.gunviolencearchive.org/incident/305907"" target=""_blank"">More Information</a>",2015-03-13,5,"Mississippi, Brookhaven, 1097 South First St.","Fri",31.55918,-90.4451454,"street_address"
"March 14, 2015","Georgia","Atlanta","2900 block of Delmar Lane","0","5","<a href=""http://www.gunviolencearchive.org/incident/306897"" target=""_blank"">More Information</a>",2015-03-14,5,"Georgia, Atlanta, 2900 block of Delmar Lane","Sat",33.7549751,-84.4819599,"street_address"
"March 14, 2015","California","Coachella","84000 block of Bagdad Avenue","0","4","<a href=""http://www.gunviolencearchive.org/incident/308201"" target=""_blank"">More Information</a>",2015-03-14,4,"California, Coachella, 84000 block of Bagdad Avenue","Sat",33.6745415,-116.1880023,"street_address"
"March 15, 2015","California","Compton","2700 block of West Alondra Boulevard","0","4","<a href=""http://www.gunviolencearchive.org/incident/307512"" target=""_blank"">More Information</a>",2015-03-15,4,"California, Compton, 2700 block of West Alondra Boulevard","Sun",33.8862891,-118.2570808,"street_address"
"March 17, 2015","California","Stockton","748 N Madison St","3","4","<a href=""http://www.gunviolencearchive.org/incident/308687"" target=""_blank"">More Information</a>",2015-03-17,7,"California, Stockton, 748 N Madison St","Tues",37.9598859,-121.2955706,"street_address"
"March 18, 2015","New Jersey","Newark","200 block of Clinton Place","1","3","<a href=""http://www.gunviolencearchive.org/incident/308839"" target=""_blank"">More Information</a>",2015-03-18,4,"New Jersey, Newark, 200 block of Clinton Place","Wed",40.715935,-74.2128912,"street_address"
"March 18, 2015","Arizona","Mesa","1504 West Main Street","1","5","<a href=""http://www.gunviolencearchive.org/incident/308728"" target=""_blank"">More Information</a>",2015-03-18,6,"Arizona, Mesa, 1504 West Main Street","Wed",33.4152204,-111.8632164,"street_address"
"March 20, 2015","Texas","Lancaster","1500 block of Reynolds Street","1","5","<a href=""http://www.gunviolencearchive.org/incident/468151"" target=""_blank"">More Information</a>",2015-03-20,6,"Texas, Lancaster, 1500 block of Reynolds Street","Fri",32.6115841,-96.789246,"street_address"
"March 21, 2015","Florida","Tampa","1802 Seventh Ave","0","4","<a href=""http://www.gunviolencearchive.org/incident/310573"" target=""_blank"">More Information</a>",2015-03-21,4,"Florida, Tampa, 1802 Seventh Ave","Sat",27.9604344,-82.4390132,"street_address"
"March 22, 2015","New Mexico","Albuquerque","10140 Lomas NE","1","6","<a href=""http://www.gunviolencearchive.org/incident/311348"" target=""_blank"">More Information</a>",2015-03-22,7,"New Mexico, Albuquerque, 10140 Lomas NE","Sun",35.0873232,-106.5348907,"street_address"
"March 23, 2015","Tennessee","Clarksville","900 block of Carpenter Street","1","4","<a href=""http://www.gunviolencearchive.org/incident/311922"" target=""_blank"">More Information</a>",2015-03-23,5,"Tennessee, Clarksville, 900 block of Carpenter Street","Mon",36.5367213,-87.3487862,"street_address"
"March 24, 2015","Indiana","Indianapolis","3100 block of North Harding Street","4","0","<a href=""http://www.gunviolencearchive.org/incident/312119"" target=""_blank"">More Information</a>",2015-03-24,4,"Indiana, Indianapolis, 3100 block of North Harding Street","Tues",39.8110142,-86.187091,"street_address"
"March 26, 2015","Texas","Amarillo","3100 block of Redwood","0","4","<a href=""http://www.gunviolencearchive.org/incident/313304"" target=""_blank"">More Information</a>",2015-03-26,4,"Texas, Amarillo, 3100 block of Redwood","Thurs",35.2446394,-101.8238496,"premise"
"March 27, 2015","Florida","Panama City Beach","5312 Thomas Drive","0","7","<a href=""http://www.gunviolencearchive.org/incident/314044"" target=""_blank"">More Information</a>",2015-03-27,7,"Florida, Panama City Beach, 5312 Thomas Drive","Fri",30.143422,-85.755009,"street_address"
"April 2, 2015","Maryland","Baltimore","1900 block of West Lanvale Street","0","5","<a href=""http://www.gunviolencearchive.org/incident/316795"" target=""_blank"">More Information</a>",2015-04-02,5,"Maryland, Baltimore, 1900 block of West Lanvale Street","Thurs",39.297752,-76.647594,"street_address"
"April 5, 2015","Pennsylvania","Pittsburgh","Dinwiddie Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/318125"" target=""_blank"">More Information</a>",2015-04-05,4,"Pennsylvania, Pittsburgh, Dinwiddie Street","Sun",40.441178,-79.9805726,"route"
"April 5, 2015","Kentucky","Louisville","40th and Grand Street","1","4","<a href=""http://www.gunviolencearchive.org/incident/318221"" target=""_blank"">More Information</a>",2015-04-05,5,"Kentucky, Louisville, 40th and Grand Street","Sun",38.2429048,-85.8185154,"intersection"
"April 5, 2015","Indiana","Indianapolis","5000 block of Wildflower Court","0","5","<a href=""http://www.gunviolencearchive.org/incident/318297"" target=""_blank"">More Information</a>",2015-04-05,5,"Indiana, Indianapolis, 5000 block of Wildflower Court","Sun",39.8588013,-86.2457591,"street_address"
"April 5, 2015","Michigan","Benton Harbor","1000 block of Blossom Lane","0","4","<a href=""http://www.gunviolencearchive.org/incident/318531"" target=""_blank"">More Information</a>",2015-04-05,4,"Michigan, Benton Harbor, 1000 block of Blossom Lane","Sun",42.1155996,-86.4336139,"street_address"
"April 7, 2015","Georgia","Rome","20 Copeland Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/319808"" target=""_blank"">More Information</a>",2015-04-07,4,"Georgia, Rome, 20 Copeland Street","Tues",34.2640587,-85.1594538,"street_address"
"April 16, 2015","Arizona","Phoenix","4300 block of East Anderson Drive","5","0","<a href=""http://www.gunviolencearchive.org/incident/324424"" target=""_blank"">More Information</a>",2015-04-16,5,"Arizona, Phoenix, 4300 block of East Anderson Drive","Thurs",33.6418311,-111.9894464,"street_address"
"April 18, 2015","Alabama","Montgomery","1800 block of Gibbs Court","0","5","<a href=""http://www.gunviolencearchive.org/incident/327341"" target=""_blank"">More Information</a>",2015-04-18,5,"Alabama, Montgomery, 1800 block of Gibbs Court","Sat",32.3573348,-86.3358284,"street_address"
"April 18, 2015","Pennsylvania","Williamsport","321 Pine St","0","5","<a href=""http://www.gunviolencearchive.org/incident/325445"" target=""_blank"">More Information</a>",2015-04-18,5,"Pennsylvania, Williamsport, 321 Pine St","Sat",41.2407928,-77.0031823,"street_address"
"April 18, 2015","North Carolina","Lumberton","Martin Luther King Drive","1","3","<a href=""http://www.gunviolencearchive.org/incident/325166"" target=""_blank"">More Information</a>",2015-04-18,4,"North Carolina, Lumberton, Martin Luther King Drive","Sat",34.5992729,-79.0341864,"route"
"April 18, 2015","North Carolina","Charlotte","Bost Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/325207"" target=""_blank"">More Information</a>",2015-04-18,4,"North Carolina, Charlotte, Bost Street","Sat",35.2256181,-80.900344,"route"
"April 18, 2015","New Jersey","Paterson","Rosa Parks Blvd and Godwin Ave","1","3","<a href=""http://www.gunviolencearchive.org/incident/325618"" target=""_blank"">More Information</a>",2015-04-18,4,"New Jersey, Paterson, Rosa Parks Blvd and Godwin Ave","Sat",40.9206769,-74.1590819,"intersection"
"April 19, 2015","Virginia","Richmond","200 block of West Hill Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/325862"" target=""_blank"">More Information</a>",2015-04-19,4,"Virginia, Richmond, 200 block of West Hill Street","Sun",37.5543823,-77.4363426,"street_address"
"April 21, 2015","Texas","Killeen","420 Gilmer St.","2","3","<a href=""http://www.gunviolencearchive.org/incident/326792"" target=""_blank"">More Information</a>",2015-04-21,5,"Texas, Killeen, 420 Gilmer St.","Tues",31.1241856,-97.7367535,"street_address"
"April 25, 2015","New Jersey","Trenton","Wood Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/329463"" target=""_blank"">More Information</a>",2015-04-25,4,"New Jersey, Trenton, Wood Street","Sat",40.2217733,-74.7609727,"route"
"April 25, 2015","New York","Gates","24 Hinchey Rd","1","6","<a href=""http://www.gunviolencearchive.org/incident/329322"" target=""_blank"">More Information</a>",2015-04-25,7,"New York, Gates, 24 Hinchey Rd","Sat",43.13935,-77.6717106,"street_address"
"April 27, 2015","New York","Brooklyn","1365 Flatbush Ave","2","4","<a href=""http://www.gunviolencearchive.org/incident/330611"" target=""_blank"">More Information</a>",2015-04-27,6,"New York, Brooklyn, 1365 Flatbush Ave","Mon",40.6377216,-73.9525024,"street_address"
